code,name
BSE/BOM500510,LARSEN & TOUBRO LTD. EOD Prices
BSE/BOM500520,MAHINDRA & MAHINDRA LTD. EOD Prices
BSE/BOM500530,BOSCH LTD. EOD Prices
BSE/BOM500540,PREMIER LTD. EOD Prices
BSE/BOM500547,BHARAT PETROLEUM CORPORATION LTD. EOD Prices
BSE/BOM500550,SIEMENS LTD. EOD Prices
BSE/BOM500570,TATA MOTORS LTD. EOD Prices
BSE/BOM500575,VOLTAS LTD. EOD Prices
BSE/BOM500620,GREAT EASTERN SHIPPING CO.LTD. EOD Prices
BSE/BOM500630,ESSAR PORTS LTD. EOD Prices
BSE/BOM500645,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD. EOD Prices
BSE/BOM500650,EXCEL INDUSTRIES LTD. EOD Prices
BSE/BOM500655,Garware Hi-Tech Films Ltd EOD Prices
BSE/BOM500660,GLAXOSMITHKLINE PHARMACEUTICALS LTD. EOD Prices
BSE/BOM500670,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD. EOD Prices
BSE/BOM500672,NOVARTIS INDIA LTD. EOD Prices
BSE/BOM500674,Sanofi India Ltd EOD Prices
BSE/BOM500676,GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD. EOD Prices
BSE/BOM500680,PFIZER LTD. EOD Prices
BSE/BOM500690,GUJARAT STATE FERTILIZERS & CHEMICALS LTD. EOD Prices
BSE/BOM500696,HINDUSTAN UNILEVER LTD. EOD Prices
BSE/BOM500710,Akzo Nobel India Limited EOD Prices
BSE/BOM500730,NOCIL LTD. EOD Prices
BSE/BOM500770,TATA CHEMICALS LTD. EOD Prices
BSE/BOM500777,TAMILNADU PETROPRODUCTS LTD. EOD Prices
BSE/BOM500780,ZUARI GLOBAL LTD. EOD Prices
BSE/BOM500790,NESTLE INDIA LTD. EOD Prices
BSE/BOM500800,Tata Consumer Products Ltd EOD Prices
BSE/BOM500820,ASIAN PAINTS LTD. EOD Prices
BSE/BOM500825,BRITANNIA INDUSTRIES LTD. EOD Prices
BSE/BOM500830,COLGATE-PALMOLIVE (INDIA) LTD. EOD Prices
BSE/BOM500840,EIH LTD. EOD Prices
BSE/BOM500850,INDIAN HOTELS CO.LTD. EOD Prices
BSE/BOM500870,CASTROL INDIA LTD. EOD Prices
BSE/BOM500875,ITC LTD. EOD Prices
BSE/BOM500877,APOLLO TYRES LTD. EOD Prices
BSE/BOM500878,CEAT LTD. EOD Prices
BSE/BOM500890,MODI RUBBER LTD. EOD Prices
BSE/BOM500940,FINOLEX INDUSTRIES LTD. EOD Prices
BSE/BOM500945,VALUE INDUSTRIES LTD. EOD Prices
BSE/BOM501061,STATE BANK OF BIKANER & JAIPUR EOD Prices
BSE/BOM501110,SUNRISE INDUSTRIAL TRADERS LTD. EOD Prices
BSE/BOM501111,GOLD ROCK INVESTMENTS LTD. EOD Prices
BSE/BOM501144,PEOPLES INVESTMENTS LTD. EOD Prices
BSE/BOM501148,DALAL STREET INVESTMENTS LTD. EOD Prices
BSE/BOM501150,CENTRUM CAPITAL LTD. EOD Prices
BSE/BOM501151,KARTIK INVESTMENTS TRUST LTD. EOD Prices
BSE/BOM501154,ROSE INVESTMENTS LTD. EOD Prices
BSE/BOM501178,SURYODAYA INVESTMENT & TRADING COMPANY LTD. EOD Prices
BSE/BOM501179,OSCAR INVESTMENTS LTD. EOD Prices
BSE/BOM501209,Maestros Mediline Systems Ltd.-$ EOD Prices
BSE/BOM501233,Bhagyodaya Infrastructure Development Ltd EOD Prices
BSE/BOM501242,TCI FINANCE LTD. EOD Prices
BSE/BOM501261,KRATOS ENERGY & INFRASTRUCTURE LTD. EOD Prices
BSE/BOM501267,Shree Rani Sati Investment & Finance Ltd. EOD Prices
BSE/BOM501270,Antariksh Industries Ltd EOD Prices
BSE/BOM501295,INDUSTRIAL INVESTMENT TRUST LTD. EOD Prices
BSE/BOM501298,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD. EOD Prices
BSE/BOM501301,TATA INVESTMENT CORPORATION LTD. EOD Prices
BSE/BOM501311,JAYABHARAT CREDIT LTD.-$ EOD Prices
BSE/BOM501314,Gromo Trade & Consultancy Ltd EOD Prices
BSE/BOM501343,MOTOR & GENERAL FINANCE LTD. EOD Prices
BSE/BOM501351,RAPID INVESTMENTS LTD. EOD Prices
BSE/BOM501368,Gujarat Organics Ltd. EOD Prices
BSE/BOM501370,WALCHAND PEOPLEFIRST LTD. EOD Prices
BSE/BOM501386,SWASTIK SAFE DEPOSIT & INVESTMENTS LTD. EOD Prices
BSE/BOM501391,W.H.BRADY & CO.LTD. EOD Prices
BSE/BOM501421,TECHNVISION VENTURES LTD. EOD Prices
BSE/BOM501423,SHAILY ENGINEERING PLASTICS LTD. EOD Prices
BSE/BOM501425,BOMBAY BURMAH TRADING CORP.LTD. EOD Prices
BSE/BOM501430,BOMBAY CYCLE & MOTOR AGENCY LTD. EOD Prices
BSE/BOM501455,GREAVES COTTON LTD. EOD Prices
